"X(um)";"Z(um)"
"934,619 ";"340,161 "
"937,408 ";"337,630 "
"940,198 ";"336,557 "
"942,988 ";"335,571 "
"945,778 ";"334,849 "
"948,568 ";"333,656 "
"951,358 ";"333,884 "
"954,148 ";"333,945 "
"956,938 ";"333,827 "
"959,728 ";"335,289 "
"962,518 ";"335,723 "
"965,307 ";"335,844 "
"968,097 ";"334,849 "
"970,887 ";"337,932 "
"973,677 ";"338,546 "
"976,467 ";"338,068 "
"979,257 ";"336,892 "
"982,047 ";"336,837 "
"984,837 ";"337,910 "
"987,627 ";"338,465 "
"990,417 ";"337,521 "
"993,207 ";"335,005 "
"995,996 ";"331,357 "
"998,786 ";"330,508 "
"1001,576 ";"332,865 "
"1004,366 ";"333,858 "
"1007,156 ";"334,359 "
"1009,946 ";"335,433 "
"1012,736 ";"335,660 "
"1015,526 ";"333,546 "
"1018,316 ";"331,964 "
"1021,106 ";"328,773 "
"1023,896 ";"324,568 "
"1026,685 ";"319,726 "
"1029,475 ";"314,667 "
"1032,265 ";"313,721 "
"1035,055 ";"322,386 "
"1037,845 ";"327,672 "
"1040,635 ";"330,988 "
"1043,425 ";"333,620 "
"1046,215 ";"333,976 "
"1049,005 ";"330,890 "
"1051,795 ";"329,095 "
"1054,584 ";"327,419 "
"1057,374 ";"324,695 "
"1060,164 ";"321,453 "
"1062,954 ";"317,774 "
"1065,744 ";"317,533 "
"1068,534 ";"322,200 "
"1071,324 ";"325,551 "
"1074,114 ";"326,310 "
"1076,904 ";"325,263 "
"1079,694 ";"323,595 "
"1082,484 ";"322,947 "
"1085,273 ";"323,927 "
"1088,063 ";"325,722 "
"1090,853 ";"327,552 "
"1093,643 ";"329,652 "
"1096,433 ";"334,233 "
"1099,223 ";"334,500 "
"1102,013 ";"335,711 "
"1104,803 ";"333,078 "
"1107,593 ";"337,432 "
"1110,383 ";"339,586 "
"1113,172 ";"340,310 "
"1115,962 ";"339,618 "
"1118,752 ";"338,782 "
"1121,542 ";"338,984 "
"1124,332 ";"340,542 "
"1127,122 ";"341,375 "
"1129,912 ";"339,178 "
"1132,702 ";"344,320 "
"1135,492 ";"343,685 "
"1138,282 ";"342,820 "
"1141,072 ";"343,739 "
"1143,861 ";"341,598 "
"1146,651 ";"339,777 "
"1149,441 ";"336,087 "
"1152,231 ";"336,329 "
"1155,021 ";"334,848 "
"1157,811 ";"338,132 "
"1160,601 ";"334,770 "
"1163,391 ";"336,848 "
"1166,181 ";"334,201 "
"1168,971 ";"335,109 "
"1171,761 ";"333,035 "
"1174,550 ";"322,292 "
"1177,340 ";"313,566 "
"1180,130 ";"311,970 "
"1182,920 ";"311,240 "
"1185,710 ";"306,381 "
"1188,500 ";"300,656 "
"1191,290 ";"298,531 "
"1194,080 ";"295,843 "
"1196,870 ";"292,375 "
"1199,660 ";"287,126 "
"1202,449 ";"284,324 "
"1205,239 ";"287,281 "
"1208,029 ";"290,700 "
"1210,819 ";"295,129 "
"1213,609 ";"301,147 "
"1216,399 ";"308,613 "
"1219,189 ";"320,767 "
"1221,979 ";"343,133 "
"1224,769 ";"368,314 "
"1227,559 ";"391,960 "
"1230,349 ";"414,073 "
"1233,138 ";"434,752 "
"1235,928 ";"453,921 "
"1238,718 ";"471,280 "
"1241,508 ";"486,216 "
"1244,298 ";"498,264 "
"1247,088 ";"507,687 "
"1249,878 ";"514,972 "
"1252,668 ";"520,561 "
"1255,458 ";"524,627 "
"1258,248 ";"527,368 "
"1261,038 ";"529,366 "
"1263,827 ";"531,811 "
"1266,617 ";"533,380 "
"1269,407 ";"531,646 "
"1272,197 ";"529,735 "
"1274,987 ";"523,493 "
"1277,777 ";"530,148 "
"1280,567 ";"534,032 "
"1283,357 ";"530,804 "
"1286,147 ";"527,172 "
"1288,937 ";"532,331 "
"1291,726 ";"538,277 "
"1294,516 ";"547,517 "
"1297,306 ";"553,378 "
"1300,096 ";"559,693 "
"1302,886 ";"557,013 "
"1305,676 ";"558,254 "
"1308,466 ";"569,864 "
"1311,256 ";"588,099 "
"1314,046 ";"596,478 "
"1316,836 ";"594,879 "
"1319,626 ";"595,253 "
"1322,415 ";"595,870 "
"1325,205 ";"595,800 "
"1327,995 ";"595,756 "
"1330,785 ";"599,287 "
"1333,575 ";"606,533 "
"1336,365 ";"613,526 "
"1339,155 ";"620,474 "
"1341,945 ";"627,159 "
"1344,735 ";"633,128 "
"1347,525 ";"637,862 "
"1350,315 ";"641,204 "
"1353,104 ";"639,075 "
"1355,894 ";"643,660 "
"1358,684 ";"642,445 "
"1361,474 ";"642,707 "
"1364,264 ";"642,043 "
"1367,054 ";"641,946 "
"1369,844 ";"640,680 "
"1372,634 ";"639,647 "
"1375,424 ";"638,566 "
"1378,214 ";"640,809 "
"1381,003 ";"638,251 "
"1383,793 ";"639,227 "
"1386,583 ";"641,206 "
"1389,373 ";"639,717 "
"1392,163 ";"640,663 "
"1394,953 ";"637,850 "
"1397,743 ";"640,140 "
"1400,533 ";"640,558 "
"1403,323 ";"640,450 "
"1406,113 ";"639,013 "
"1408,903 ";"636,027 "
"1411,692 ";"641,616 "
"1414,482 ";"638,856 "
"1417,272 ";"638,835 "
"1420,062 ";"639,489 "
"1422,852 ";"639,328 "
"1425,642 ";"639,980 "
"1428,432 ";"639,690 "
"1431,222 ";"639,198 "
"1434,012 ";"637,280 "
"1436,802 ";"636,507 "
"1439,591 ";"636,220 "
"1442,381 ";"634,894 "
"1445,171 ";"633,111 "
"1447,961 ";"631,136 "
"1450,751 ";"630,660 "
"1453,541 ";"631,333 "
"1456,331 ";"629,438 "
"1459,121 ";"629,483 "
"1461,911 ";"627,572 "
"1464,701 ";"626,885 "
"1467,491 ";"625,805 "
"1470,280 ";"628,734 "
"1473,070 ";"631,973 "
"1475,860 ";"628,963 "
"1478,650 ";"628,867 "
"1481,440 ";"631,406 "
"1484,230 ";"633,095 "
"1487,020 ";"643,894 "
"1489,810 ";"657,048 "
"1492,600 ";"670,701 "
"1495,390 ";"684,484 "
"1498,180 ";"698,207 "
"1500,969 ";"711,720 "
"1503,759 ";"725,209 "
"1506,549 ";"739,783 "
"1509,339 ";"747,646 "
"1512,129 ";"746,993 "
"1514,919 ";"752,358 "
"1517,709 ";"760,721 "
"1520,499 ";"765,175 "
"1523,289 ";"770,719 "
"1526,079 ";"766,308 "
"1528,868 ";"772,561 "
"1531,658 ";"771,572 "
"1534,448 ";"771,750 "
"1537,238 ";"773,685 "
"1540,028 ";"777,079 "
"1542,818 ";"781,602 "
"1545,608 ";"787,096 "
"1548,398 ";"794,278 "
"1551,188 ";"803,903 "
"1553,978 ";"803,699 "
"1556,768 ";"804,269 "
"1559,557 ";"806,549 "
"1562,347 ";"801,547 "
"1565,137 ";"801,026 "
"1567,927 ";"801,186 "
"1570,717 ";"797,155 "
"1573,507 ";"796,036 "
"1576,297 ";"796,207 "
"1579,087 ";"799,585 "
"1581,877 ";"797,651 "
"1584,667 ";"794,547 "
"1587,457 ";"795,671 "
"1590,246 ";"797,319 "
"1593,036 ";"797,515 "
"1595,826 ";"797,763 "
"1598,616 ";"800,792 "
"1601,406 ";"801,478 "
"1604,196 ";"800,070 "
"1606,986 ";"797,417 "
"1609,776 ";"799,345 "
"1612,566 ";"801,656 "
"1615,356 ";"804,125 "
"1618,145 ";"806,317 "
"1620,935 ";"807,226 "
"1623,725 ";"813,168 "
"1626,515 ";"817,321 "
"1629,305 ";"817,926 "
"1632,095 ";"820,294 "
"1634,885 ";"820,081 "
"1637,675 ";"815,580 "
"1640,465 ";"810,276 "
"1643,255 ";"805,236 "
"1646,045 ";"800,905 "
"1648,834 ";"797,487 "
"1651,624 ";"797,156 "
"1654,414 ";"802,715 "
"1657,204 ";"805,529 "
"1659,994 ";"807,139 "
"1662,784 ";"800,109 "
"1665,574 ";"795,879 "
"1668,364 ";"793,875 "
"1671,154 ";"793,683 "
"1673,944 ";"795,020 "
"1676,734 ";"797,143 "
"1679,523 ";"799,345 "
"1682,313 ";"801,327 "
"1685,103 ";"803,169 "
"1687,893 ";"805,073 "
"1690,683 ";"806,998 "
"1693,473 ";"808,141 "
"1696,263 ";"802,440 "
"1699,053 ";"802,922 "
"1701,843 ";"806,701 "
"1704,633 ";"809,526 "
"1707,422 ";"818,695 "
"1710,212 ";"830,393 "
"1713,002 ";"841,452 "
"1715,792 ";"853,899 "
"1718,582 ";"869,644 "
"1721,372 ";"899,454 "
"1724,162 ";"930,223 "
"1726,952 ";"960,568 "
"1729,742 ";"982,879 "
"1732,532 ";"984,519 "
"1735,322 ";"983,843 "
"1738,111 ";"982,130 "
"1740,901 ";"992,501 "
"1743,691 ";"997,272 "
"1746,481 ";"1001,540 "
"1749,271 ";"1006,168 "
"1752,061 ";"1006,609 "
"1754,851 ";"1008,410 "
"1757,641 ";"1010,944 "
"1760,431 ";"1012,479 "
"1763,221 ";"1013,734 "
"1766,010 ";"1014,530 "
"1768,800 ";"1015,340 "
"1771,590 ";"1015,970 "
"1774,380 ";"1016,435 "
"1777,170 ";"1015,992 "
"1779,960 ";"1014,913 "
"1782,750 ";"1013,820 "
"1785,540 ";"1015,160 "
"1788,330 ";"1004,000 "
"1791,120 ";"1005,013 "
"1793,910 ";"1004,046 "
"1796,699 ";"1002,383 "
"1799,489 ";"1002,544 "
"1802,279 ";"1003,845 "
"1805,069 ";"1003,218 "
"1807,859 ";"1002,305 "
"1810,649 ";"1003,363 "
"1813,439 ";"1002,922 "
"1816,229 ";"1002,554 "
"1819,019 ";"1002,269 "
"1821,809 ";"999,963 "
"1824,599 ";"993,610 "
"1827,388 ";"986,071 "
"1830,178 ";"989,698 "
"1832,968 ";"989,199 "
"1835,758 ";"1000,047 "
"1838,548 ";"1001,214 "
"1841,338 ";"1004,575 "
"1844,128 ";"1005,484 "
"1846,918 ";"1006,861 "
"1849,708 ";"1008,984 "
"1852,498 ";"1007,849 "
"1855,287 ";"1009,067 "
"1858,077 ";"1008,327 "
"1860,867 ";"1007,489 "
"1863,657 ";"1007,085 "
"1866,447 ";"1008,507 "
"1869,237 ";"1009,175 "
"1872,027 ";"1006,636 "
"1874,817 ";"1006,883 "
"1877,607 ";"1011,020 "
"1880,397 ";"1008,489 "
"1883,187 ";"1009,818 "
"1885,976 ";"1009,690 "
"1888,766 ";"1009,621 "
